[2026-05-26T19:47:27.950Z] GET http://localhost:4321/src/components/animations/SplitText.tsx → 200 (133ms, 7724B)
[2026-05-26T19:47:27.950Z] GET http://localhost:4321/src/components/animations/GradientText.tsx → 200 (117ms, 4027B)
[2026-05-26T19:47:27.950Z] GET http://localhost:4321/src/components/ZoomerMode.tsx → 200 (175ms, 129917B)
[2026-05-26T19:47:27.953Z] GET http://localhost:4321/src/components/backgrounds/BeamsBg.tsx → 200 (141ms, 12499B)
[2026-05-26T19:47:27.953Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/a11y.js?v=8c056afb → 200 (112ms, 125007B)
[2026-05-26T19:47:27.953Z] GET http://localhost:4321/node_modules/astro/dist/runtime/client/dev-toolbar/apps/audit/rules/perf.js?v=8c056afb → 200 (125ms, 22594B)
[2026-05-26T19:47:27.953Z] GET http://localhost:4321/src/components/ScrollPopup.tsx → 200 (172ms, 11637B)
[2026-05-26T19:47:27.969Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-TYILIMWK.js?v=8c056afb → 200 (125ms, 928095B)
[2026-05-26T19:47:27.969Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-CANBAPAS.js?v=8c056afb → 200 (121ms, 77818B)
[2026-05-26T19:47:27.969Z] GET http://localhost:4321/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=8c056afb → 200 (120ms, 1400B)
[2026-05-26T19:47:28.065Z] GET http://localhost:4321/node_modules/.vite/deps/astro___aria-query.js?v=1f20272c → 200 (29ms, 205280B)
[2026-05-26T19:47:28.065Z] GET http://localhost:4321/node_modules/.vite/deps/astro___axobject-query.js?v=1f20272c → 200 (59ms, 112534B)
[2026-05-26T19:47:28.067Z] GET http://localhost:4321/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=1f20272c → 200 (58ms, 37035B)
[2026-05-26T19:47:28.083Z] GET http://localhost:4321/node_modules/.vite/deps/react.js?v=1f20272c → 200 (42ms, 219B)
[2026-05-26T19:47:28.138Z] GET http://localhost:4321/src/lib/supabase.ts → 200 (10ms, 1652B)
[2026-05-26T19:47:28.138Z] GET http://localhost:4321/src/components/ContactForm.tsx → 200 (11ms, 28146B)
[2026-05-26T19:47:28.157Z] GET http://localhost:4321/node_modules/.vite/deps/@supabase_supabase-js.js?v=7333814f → 200 (8ms, 721645B)
[2026-05-26T19:47:28.185Z] GET https://fonts.googleapis.com/css2?family=Syne:wght@700;800&family=Space+Grotesk:wght@300;400;500&display=swap → 200 (49ms, 6179B)
[2026-05-26T19:47:28.257Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → 200 (31ms, 34560B)
[2026-05-26T19:47:40.002Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (41ms, 22320B)
[2026-05-26T19:47:40.002Z] GET https://fonts.gstatic.com/s/syne/v24/8vIH7w4qzmVxm2BL9G78HEY.woff2 → 200 (7ms, 34560B)
[2026-05-26T19:47:40.002Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (40ms, 22320B)
[2026-05-26T19:47:58.554Z] GET http://localhost:4321/src/components/animations/CountUp.tsx → 200 (14ms, 6670B)
[2026-05-26T19:49:35.736Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:36.731Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:37.733Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:38.736Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:39.737Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:40.739Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:41.741Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:42.745Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:43.748Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:44.750Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:45.752Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:46.758Z] GET http://localhost:4321/ → pending (?ms, ?B)
[2026-05-26T19:49:47.759Z] GET http://localhost:4321/ → pending (?ms, ?B)
